"batch_id","run_id","jcm","ccrs_mode","source","file","line","selected_uri","selected_original_index","selected_has_ccrs","selected_reordered","selected_origin","selected_type","selected_utility","options_count","matched_count"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2424","http://127.0.1.1:8080/cells/37/29","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2452","http://127.0.1.1:8080/cells/37/30","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2476","http://127.0.1.1:8080/cells/37/31","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2504","http://127.0.1.1:8080/cells/36/31","0","True","False","opportunistic-ccrs","stigmergy","0.727272727272727","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2530","http://127.0.1.1:8080/cells/35/31","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2554","http://127.0.1.1:8080/cells/35/30","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2578","http://127.0.1.1:8080/cells/35/29","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2602","http://127.0.1.1:8080/cells/35/28","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2626","http://127.0.1.1:8080/cells/35/27","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2654","http://127.0.1.1:8080/cells/34/27","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2678","http://127.0.1.1:8080/cells/33/27","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2702","http://127.0.1.1:8080/cells/33/26","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2726","http://127.0.1.1:8080/cells/33/25","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2750","http://127.0.1.1:8080/cells/33/24","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2774","http://127.0.1.1:8080/cells/32/24","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2798","http://127.0.1.1:8080/cells/31/24","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2822","http://127.0.1.1:8080/cells/31/25","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2846","http://127.0.1.1:8080/cells/31/26","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2870","http://127.0.1.1:8080/cells/31/27","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2894","http://127.0.1.1:8080/cells/31/28","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2918","http://127.0.1.1:8080/cells/31/29","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2946","http://127.0.1.1:8080/cells/31/30","1","True","True","opportunistic-ccrs","stigmergy","0.738461538461539","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2970","http://127.0.1.1:8080/cells/32/30","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2994","http://127.0.1.1:8080/cells/33/30","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3022","http://127.0.1.1:8080/cells/33/31","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3046","http://127.0.1.1:8080/cells/33/32","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3070","http://127.0.1.1:8080/cells/33/33","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3098","http://127.0.1.1:8080/cells/33/34","1","True","True","opportunistic-ccrs","stigmergy","0.738461538461539","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3122","http://127.0.1.1:8080/cells/33/35","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3146","http://127.0.1.1:8080/cells/33/36","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3178","http://127.0.1.1:8080/cells/34/36","2","True","True","opportunistic-ccrs","stigmergy","0.738461538461539","3","3"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3202","http://127.0.1.1:8080/cells/35/36","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3230","http://127.0.1.1:8080/cells/36/36","0","True","False","opportunistic-ccrs","stigmergy","0.738461538461539","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4511","http://127.0.1.1:8080/cells/36/37","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4531","http://127.0.1.1:8080/cells/36/38","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4551","http://127.0.1.1:8080/cells/36/39","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4573","http://127.0.1.1:8080/cells/35/39","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4593","http://127.0.1.1:8080/cells/34/39","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4613","http://127.0.1.1:8080/cells/34/40","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4646","http://127.0.1.1:8080/cells/33/40","0","True","False","opportunistic-ccrs","signifier","0.8","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4666","http://127.0.1.1:8080/cells/32/40","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4688","http://127.0.1.1:8080/cells/31/40","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4708","http://127.0.1.1:8080/cells/31/41","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4728","http://127.0.1.1:8080/cells/31/42","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4748","http://127.0.1.1:8080/cells/31/43","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4770","http://127.0.1.1:8080/cells/32/43","0","True","False","opportunistic-ccrs","signifier","0.8","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4790","http://127.0.1.1:8080/cells/33/43","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4810","http://127.0.1.1:8080/cells/34/43","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4830","http://127.0.1.1:8080/cells/35/43","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4854","http://127.0.1.1:8080/cells/36/43","0","True","False","opportunistic-ccrs","signifier","0.8","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4874","http://127.0.1.1:8080/cells/37/43","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4898","http://127.0.1.1:8080/cells/38/43","0","True","False","opportunistic-ccrs","signifier","0.8","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4918","http://127.0.1.1:8080/cells/39/43","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4940","http://127.0.1.1:8080/cells/39/44","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4960","http://127.0.1.1:8080/cells/40/44","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4980","http://127.0.1.1:8080/cells/41/44","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5002","http://127.0.1.1:8080/cells/41/45","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5022","http://127.0.1.1:8080/cells/41/46","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5042","http://127.0.1.1:8080/cells/40/46","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5062","http://127.0.1.1:8080/cells/40/47","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5156","http://127.0.1.1:8080/cells/42/43","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5178","http://127.0.1.1:8080/cells/43/43","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5198","http://127.0.1.1:8080/cells/43/44","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5218","http://127.0.1.1:8080/cells/43/45","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5238","http://127.0.1.1:8080/cells/44/45","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6412","http://127.0.1.1:8080/cells/45/45","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6432","http://127.0.1.1:8080/cells/46/45","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6452","http://127.0.1.1:8080/cells/47/45","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6474","http://127.0.1.1:8080/cells/47/46","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6494","http://127.0.1.1:8080/cells/47/47","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6516","http://127.0.1.1:8080/cells/46/47","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6568","http://127.0.1.1:8080/cells/47/49","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6588","http://127.0.1.1:8080/cells/48/49","0","False","False",,,,"1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6610","http://127.0.1.1:8080/cells/48/50","0","False","False",,,,"2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6632","http://127.0.1.1:8080/cells/48/51","0","False","False",,,,"1","0"
